| Date                      |        Open |       Close |   Volume |       EMA_5 |      KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
|---------------------------+-------------+-------------+----------+-------------+-------------+-----------+-------------+-------------+-----------------+---------------------+-------------|
| 2010-03-11 00:00:00-05:00 | 1.76797e+07 | 1.71848e+07 |        0 | 0           | 0           |         0 | 0           | 0           |               0 |                   0 | False       |
| 2010-03-12 00:00:00-05:00 | 1.71763e+07 | 1.75389e+07 |        0 | 0           | 0           |         0 | 0           | 0           |               0 |                   0 | False       |
| 2010-03-15 00:00:00-04:00 | 1.80381e+07 | 1.81746e+07 |        0 | 0           | 0           |         0 | 1.74771e+07 | 0           |               1 |                   0 | False       |
| 2010-03-16 00:00:00-04:00 | 1.69587e+07 | 1.66942e+07 |        0 | 0           | 0           |         0 | 1.74771e+07 | 0           |               1 |                   0 | False       |
| 2010-03-17 00:00:00-04:00 | 1.66942e+07 | 1.66942e+07 |        0 | 0           | 1.72574e+07 |         0 | 1.74771e+07 | 0           |               1 |                   0 | False       |
| 2010-03-18 00:00:00-04:00 | 1.66942e+07 | 1.66942e+07 |        0 | 0           | 1.70696e+07 |         0 | 1.74771e+07 | 0           |               1 |                   0 | False       |
| 2010-03-19 00:00:00-04:00 | 1.73939e+07 | 1.74152e+07 |        0 | 0           | 1.71848e+07 |         0 | 1.74771e+07 | 0           |               1 |                   0 | False       |
| 2010-03-22 00:00:00-04:00 | 1.77267e+07 | 1.5986e+07  |        0 | 0           | 1.67852e+07 |         0 | 1.65797e+07 | 1.74771e+07 |               0 |                   0 | False       |
| 2010-03-23 00:00:00-04:00 | 1.57087e+07 | 1.52223e+07 |        0 | 1.68449e+07 | 1.62643e+07 |         1 | 1.65797e+07 | 1.74771e+07 |               0 |                   1 | False       |
| 2010-03-24 00:00:00-04:00 | 1.5201e+07  | 1.56191e+07 |        0 | 1.65998e+07 | 1.60492e+07 |         1 | 1.65797e+07 | 1.74771e+07 |               0 |                   0 | False       |
| 2010-03-25 00:00:00-04:00 | 1.51882e+07 | 1.58239e+07 |        0 | 1.64446e+07 | 1.59741e+07 |         1 | 1.65797e+07 | 1.74771e+07 |               0 |                   0 | False       |
| 2010-03-26 00:00:00-04:00 | 1.53972e+07 | 1.6131e+07  |        0 | 1.63819e+07 | 1.60264e+07 |         1 | 1.65797e+07 | 1.74771e+07 |               0 |                   1 | False       |
| 2010-03-29 00:00:00-04:00 | 1.62121e+07 | 1.56191e+07 |        0 | 1.62293e+07 | 1.58906e+07 |         1 | 1.59621e+07 | 1.67731e+07 |               0 |                   1 | False       |
| 2010-03-30 00:00:00-04:00 | 1.55423e+07 | 1.55423e+07 |        0 | 1.60919e+07 | 1.57745e+07 |         1 | 1.59621e+07 | 1.67731e+07 |               0 |                   1 | False       |
| 2010-03-31 00:00:00-04:00 | 1.573e+07   | 1.55764e+07 |        0 | 1.59888e+07 | 1.57085e+07 |         1 | 1.59621e+07 | 1.67731e+07 |               0 |                   1 | False       |
| 2010-04-01 00:00:00-04:00 | 1.47829e+07 | 1.56532e+07 |        0 | 1.59217e+07 | 1.56901e+07 |         1 | 1.59621e+07 | 1.67731e+07 |               0 |                   1 | False       |
| 2010-04-05 00:00:00-04:00 | 1.43989e+07 | 1.41685e+07 |        0 | 1.55711e+07 | 1.51829e+07 |         1 | 1.51048e+07 | 1.58921e+07 |               0 |                   1 | False       |
| 2010-04-06 00:00:00-04:00 | 1.44501e+07 | 1.43989e+07 |        0 | 1.53366e+07 | 1.49216e+07 |         1 | 1.51048e+07 | 1.58921e+07 |               0 |                   1 | False       |
| 2010-04-07 00:00:00-04:00 | 1.46037e+07 | 1.41216e+07 |        0 | 1.50936e+07 | 1.46549e+07 |         1 | 1.51048e+07 | 1.58921e+07 |               0 |                   0 | False       |
| 2010-04-08 00:00:00-04:00 | 1.43776e+07 | 1.48554e+07 |        0 | 1.5046e+07  | 1.47217e+07 |         1 | 1.51048e+07 | 1.58921e+07 |               0 |                   0 | False       |
| 2010-04-09 00:00:00-04:00 | 1.47189e+07 | 1.46762e+07 |        0 | 1.4972e+07  | 1.47066e+07 |         1 | 1.51048e+07 | 1.58921e+07 |               0 |                   1 | False       |
| 2010-04-12 00:00:00-04:00 | 1.4224e+07  | 1.3968e+07  |        0 | 1.47712e+07 | 1.44604e+07 |         1 | 1.3195e+07  | 1.51647e+07 |               0 |                   0 | False       |
| 2010-04-13 00:00:00-04:00 | 1.40107e+07 | 1.36992e+07 |        0 | 1.45568e+07 | 1.42067e+07 |         1 | 1.3195e+07  | 1.51647e+07 |               0 |                   0 | False       |
| 2010-04-14 00:00:00-04:00 | 1.27734e+07 | 1.19244e+07 |        0 | 1.40303e+07 | 1.34459e+07 |         1 | 1.3195e+07  | 1.51647e+07 |               0 |                   0 | False       |
| 2010-04-15 00:00:00-04:00 | 1.18604e+07 | 1.18092e+07 |        0 | 1.35861e+07 | 1.29004e+07 |         1 | 1.3195e+07  | 1.51647e+07 |               0 |                   0 | False       |
| 2010-04-16 00:00:00-04:00 | 1.20652e+07 | 1.22401e+07 |        0 | 1.33169e+07 | 1.26803e+07 |         1 | 1.3195e+07  | 1.51647e+07 |               0 |                   0 | False       |
| 2010-04-19 00:00:00-04:00 | 1.25559e+07 | 1.26582e+07 |        0 | 1.31852e+07 | 1.26729e+07 |         1 | 1.21375e+07 | 1.34582e+07 |               0 |                   0 | False       |
| 2010-04-20 00:00:00-04:00 | 1.22529e+07 | 1.20951e+07 |        0 | 1.29672e+07 | 1.24803e+07 |         1 | 1.21375e+07 | 1.34582e+07 |               0 |                   0 | False       |
| 2010-04-21 00:00:00-04:00 | 1.17324e+07 | 1.25303e+07 |        0 | 1.28798e+07 | 1.2497e+07  |         1 | 1.21375e+07 | 1.34582e+07 |               0 |                   0 | False       |
| 2010-04-22 00:00:00-04:00 | 1.29057e+07 | 1.16684e+07 |        0 | 1.26375e+07 | 1.22208e+07 |         1 | 1.21375e+07 | 1.34582e+07 |               0 |                   0 | False       |
| 2010-04-23 00:00:00-04:00 | 1.19671e+07 | 1.16087e+07 |        0 | 1.24318e+07 | 1.20168e+07 |         1 | 1.21375e+07 | 1.34582e+07 |               0 |                   1 | False       |
| 2010-04-26 00:00:00-04:00 | 1.13058e+07 | 1.16471e+07 |        0 | 1.22748e+07 | 1.18936e+07 |         1 | 1.32071e+07 | 1.19244e+07 |               1 |                   1 | True        |
| 2010-04-27 00:00:00-04:00 | 1.19458e+07 | 1.2799e+07  |        0 | 1.23797e+07 | 1.21954e+07 |         1 | 1.32071e+07 | 1.19244e+07 |               1 |                   1 | True        |
