| Date                      |    Open |   Close |      Volume |   EMA_5 |   KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |   WeeklyClose |
|---------------------------+---------+---------+-------------+---------+----------+-----------+-------------+-------------+-----------------+---------------------+-------------+---------------|
| 2020-11-06 00:00:00-05:00 | 37.4675 | 37.85   | 1.35151e+08 |  0      |   0      |         0 |      0      |      0      |               0 |                   0 | False       |        0      |
| 2020-11-09 00:00:00-05:00 | 38.92   | 35.54   | 1.65866e+08 |  0      |   0      |         0 |     37.0675 |      0      |               1 |                   0 | False       |       36.285  |
| 2020-11-10 00:00:00-05:00 | 34.285  | 33.6225 | 1.68667e+08 |  0      |   0      |         0 |     37.0675 |      0      |               1 |                   0 | False       |       36.285  |
| 2020-11-11 00:00:00-05:00 | 34.5175 | 35.8825 | 1.26831e+08 |  0      |   0      |         0 |     37.0675 |      0      |               1 |                   0 | False       |       36.285  |
| 2020-11-12 00:00:00-05:00 | 36.2125 | 35.3575 | 1.43344e+08 | 35.6505 |   0      |         1 |     37.0675 |      0      |               1 |                   1 | False       |       36.285  |
| 2020-11-13 00:00:00-05:00 | 35.945  | 36.285  | 1.04748e+08 | 35.862  |   0      |         1 |     37.0675 |      0      |               1 |                   1 | False       |       36.285  |
| 2020-11-16 00:00:00-05:00 | 36.1875 | 37.12   | 1.06874e+08 | 36.2813 |   0      |         1 |     36.4008 |     37.0675 |               0 |                   1 | False       |       36.0675 |
| 2020-11-17 00:00:00-05:00 | 37.2    | 36.7775 | 9.1352e+07  | 36.4467 |   0      |         1 |     36.4008 |     37.0675 |               0 |                   1 | False       |       36.0675 |
| 2020-11-18 00:00:00-05:00 | 36.565  | 35.925  | 7.71708e+07 | 36.2728 |  36.04   |         1 |     36.4008 |     37.0675 |               0 |                   1 | False       |       36.0675 |
| 2020-11-19 00:00:00-05:00 | 35.7275 | 36.815  | 7.96708e+07 | 36.4535 |  36.195  |         1 |     36.4008 |     37.0675 |               0 |                   1 | False       |       36.0675 |
| 2020-11-20 00:00:00-05:00 | 36.7625 | 36.0675 | 6.49968e+07 | 36.3249 |  36.1695 |         1 |     36.4008 |     37.0675 |               0 |                   1 | False       |       36.0675 |
| 2020-11-23 00:00:00-05:00 | 36.455  | 36.075  | 8.95304e+07 | 36.2416 |  36.1506 |         1 |     38.3353 |     36.1763 |               1 |                   1 | False       |       39.3025 |
| 2020-11-24 00:00:00-05:00 | 36.455  | 37.55   | 7.80076e+07 | 36.6777 |  36.4305 |         1 |     38.3353 |     36.1763 |               1 |                   1 | False       |       39.3025 |
| 2020-11-25 00:00:00-05:00 | 37.93   | 38.2575 | 6.43388e+07 | 37.2043 |  36.7959 |         1 |     38.3353 |     36.1763 |               1 |                   1 | False       |       39.3025 |
| 2020-11-27 00:00:00-05:00 | 39.01   | 39.3025 | 4.64636e+07 | 37.9037 |  37.2972 |         1 |     38.3353 |     36.1763 |               1 |                   1 | False       |       39.3025 |
| 2020-11-30 00:00:00-05:00 | 39.43   | 39.505  | 9.23112e+07 | 38.4375 |  37.7388 |         1 |     40.7101 |     37.685  |               1 |                   1 | False       |       41.8975 |
| 2020-12-01 00:00:00-05:00 | 40.4475 | 41.0575 | 8.49948e+07 | 39.3108 |  38.4025 |         1 |     40.7101 |     37.685  |               1 |                   1 | False       |       41.8975 |
| 2020-12-02 00:00:00-05:00 | 40.5525 | 41.2225 | 7.30648e+07 | 39.948  |  38.9665 |         1 |     40.7101 |     37.685  |               1 |                   1 | False       |       41.8975 |
| 2020-12-03 00:00:00-05:00 | 41.3225 | 41.39   | 7.87308e+07 | 40.4287 |  39.4512 |         1 |     40.7101 |     37.685  |               1 |                   1 | False       |       41.8975 |
| 2020-12-04 00:00:00-05:00 | 41.4    | 41.8975 | 6.3544e+07  | 40.9183 |  39.9405 |         1 |     40.7101 |     37.685  |               1 |                   1 | False       |       41.8975 |
| 2020-12-07 00:00:00-05:00 | 41.975  | 42.6075 | 6.2014e+07  | 41.4814 |  40.4739 |         1 |     40.4534 |     40.6    |               0 |                   1 | False       |       40.325  |
| 2020-12-08 00:00:00-05:00 | 42.4125 | 42.9975 | 6.69628e+07 | 41.9867 |  40.9786 |         1 |     40.4534 |     40.6    |               0 |                   1 | False       |       40.325  |
| 2020-12-09 00:00:00-05:00 | 42.96   | 40.1175 | 1.22439e+08 | 41.3637 |  40.8064 |         1 |     40.4534 |     40.6    |               0 |                   1 | False       |       40.325  |
| 2020-12-10 00:00:00-05:00 | 39.26   | 40.61   | 8.66732e+07 | 41.1124 |  40.7671 |         1 |     40.4534 |     40.6    |               0 |                   0 | False       |       40.325  |
| 2020-12-11 00:00:00-05:00 | 39.9125 | 40.325  | 8.49096e+07 | 40.85   |  40.6787 |         1 |     40.4534 |     40.6    |               0 |                   0 | False       |       40.325  |
| 2020-12-14 00:00:00-05:00 | 40.8075 | 41.185  | 7.33424e+07 | 40.9616 |  40.7799 |         1 |     42.5395 |     41.1112 |               1 |                   0 | False       |       43.5825 |
| 2020-12-15 00:00:00-05:00 | 42.145  | 42.465  | 7.87088e+07 | 41.4628 |  41.117  |         1 |     42.5395 |     41.1112 |               1 |                   1 | False       |       43.5825 |
| 2020-12-16 00:00:00-05:00 | 42.6925 | 43.1775 | 6.87952e+07 | 42.0343 |  41.5291 |         1 |     42.5395 |     41.1112 |               1 |                   1 | False       |       43.5825 |
| 2020-12-17 00:00:00-05:00 | 43.9125 | 44.0625 | 6.96376e+07 | 42.7104 |  42.0358 |         1 |     42.5395 |     41.1112 |               1 |                   1 | False       |       43.5825 |
| 2020-12-18 00:00:00-05:00 | 44.39   | 43.5825 | 8.4378e+07  | 43.0011 |  42.3451 |         1 |     42.5395 |     41.1112 |               1 |                   1 | False       |       43.5825 |
| 2020-12-21 00:00:00-05:00 | 42.3925 | 43.42   | 1.01798e+08 | 43.1407 |  42.5601 |         1 |     43.2882 |     41.9538 |               1 |                   1 | False       |       43.6625 |
| 2020-12-22 00:00:00-05:00 | 43.825  | 43.7625 | 8.01652e+07 | 43.348  |  42.8006 |         1 |     43.2882 |     41.9538 |               1 |                   1 | False       |       43.6625 |
| 2020-12-23 00:00:00-05:00 | 43.76   | 43.1025 | 5.97172e+07 | 43.2662 |  42.861  |         1 |     43.2882 |     41.9538 |               1 |                   1 | False       |       43.6625 |
| 2020-12-24 00:00:00-05:00 | 43.2275 | 43.6625 | 3.85328e+07 | 43.3983 |  43.0213 |         1 |     43.2882 |     41.9538 |               1 |                   1 | False       |       43.6625 |
| 2020-12-28 00:00:00-05:00 | 44.79   | 44.9725 | 5.85264e+07 | 43.923  |  43.4115 |         1 |     44.7294 |     43.6225 |               1 |                   1 | False       |       45.45   |
| 2020-12-29 00:00:00-05:00 | 45.5875 | 45.105  | 6.05712e+07 | 44.317  |  43.7502 |         1 |     44.7294 |     43.6225 |               1 |                   1 | False       |       45.45   |
| 2020-12-30 00:00:00-05:00 | 45.6125 | 45.0975 | 5.24036e+07 | 44.5772 |  44.0197 |         1 |     44.7294 |     43.6225 |               1 |                   1 | False       |       45.45   |
| 2020-12-31 00:00:00-05:00 | 45.0675 | 45.45   | 5.3354e+07  | 44.8681 |  44.3057 |         1 |     44.7294 |     43.6225 |               1 |                   1 | False       |       45.45   |
| 2021-01-04 00:00:00-05:00 | 46.02   | 43.4625 | 9.8736e+07  | 44.3996 |  44.1371 |         1 |     46.6231 |     44.5562 |               1 |                   1 | False       |       47.57   |
| 2021-01-05 00:00:00-05:00 | 43.07   | 44.5525 | 5.93564e+07 | 44.4506 |  44.2202 |         1 |     46.6231 |     44.5562 |               1 |                   1 | False       |       47.57   |
| 2021-01-06 00:00:00-05:00 | 42.475  | 42.71   | 1.05365e+08 | 43.8704 |  43.9181 |         0 |     46.6231 |     44.5562 |               1 |                   0 | True        |       47.57   |
