| Date                      |      Open |     Close |      Volume |     EMA_5 |    KNN_MA |   KnnEmaX |   WeeklyEMA |   WeeklyKNN |   WeeklyKnnEmaX |   TrendConfirmation | TradeOpen   |
|---------------------------+-----------+-----------+-------------+-----------+-----------+-----------+-------------+-------------+-----------------+---------------------+-------------|
| 2010-02-11 00:00:00-05:00 |  0.398752 |  0.423917 | 3.456e+06   |  0        |  0        |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-12 00:00:00-05:00 |  0.412381 |  0.425652 | 8.6016e+06  |  0        |  0        |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-16 00:00:00-05:00 |  0.435657 |  0.44214  | 9.6192e+06  |  0        |  0        |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-17 00:00:00-05:00 |  0.448061 |  0.449643 | 1.91808e+07 |  0        |  0        |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-18 00:00:00-05:00 |  0.449183 |  0.458167 | 3.88608e+07 |  0        |  0        |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-19 00:00:00-05:00 |  0.455053 |  0.458167 | 4.64832e+07 |  0        |  0.439904 |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-22 00:00:00-05:00 |  0.463578 |  0.454952 | 2.54976e+07 |  0        |  0.446754 |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-23 00:00:00-05:00 |  0.452451 |  0.437188 | 4.11264e+07 |  0        |  0.452614 |         0 |    0        |    0        |               0 |                   0 | False       |
| 2010-02-24 00:00:00-05:00 |  0.444895 |  0.450408 | 3.53088e+07 |  0.44447  |  0.451623 |         0 |    0        |    0        |               0 |                   1 | False       |
| 2010-02-25 00:00:00-05:00 |  0.436014 |  0.450153 | 4.56192e+07 |  0.445607 |  0.451776 |         0 |    0        |    0        |               0 |                   1 | False       |
| 2010-02-26 00:00:00-05:00 |  0.448826 |  0.455768 | 2.88e+07    |  0.447639 |  0.450174 |         1 |    0        |    0        |               0 |                   1 | False       |
| 2010-03-01 00:00:00-05:00 |  0.461536 |  0.475318 | 1.42272e+07 |  0.453175 |  0.449694 |         1 |    0        |    0        |               0 |                   1 | False       |
| 2010-03-02 00:00:00-05:00 |  0.479503 |  0.478176 | 2.42112e+07 |  0.458175 |  0.453767 |         1 |    0        |    0        |               0 |                   1 | False       |
